sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
0,2026-08-20T15:53:09.714Z,0,13778944,13778944,188,25,47,1,0,1,0,0,0,0,0,0
1,2026-08-20T15:53:40.079Z,31,13746176,13828096,188,21,62,1,0,1,0,0,0,0,0,0
2,2026-08-20T15:54:10.404Z,61,13746176,13828096,188,21,62,1,0,1,0,0,0,0,0,0
3,2026-08-20T15:54:40.686Z,91,13746176,13828096,188,21,78,1,0,1,0,0,0,0,0,0
4,2026-08-20T15:55:11.022Z,122,13746176,13828096,188,21,78,1,0,1,0,0,0,0,0,0
5,2026-08-20T15:55:41.282Z,152,13746176,13828096,188,21,94,1,0,1,0,0,0,0,0,0
6,2026-08-20T15:56:11.577Z,182,13746176,13828096,188,21,94,1,0,1,0,0,0,0,0,0
7,2026-08-20T15:56:41.861Z,212,13778944,13828096,188,21,125,1,0,1,0,0,0,0,0,0
8,2026-08-20T15:57:12.145Z,243,13778944,13828096,188,21,172,1,0,1,0,0,0,0,0,0
9,2026-08-20T15:57:42.446Z,273,13778944,13828096,188,21,172,1,0,1,0,0,0,0,0,0
10,2026-08-20T15:58:12.744Z,303,13926400,13926400,188,23,172,1,0,1,0,0,0,0,0,0
11,2026-08-20T15:58:43.071Z,334,13926400,13926400,188,23,203,1,0,1,0,0,0,0,0,0
12,2026-08-20T15:59:13.415Z,364,13926400,13926400,188,23,234,1,0,1,0,0,0,0,0,0
13,2026-08-20T15:59:43.719Z,394,13926400,13926400,188,23,234,1,0,1,0,0,0,0,0,0
14,2026-08-20T16:00:15.013Z,426,13885440,13926400,188,21,234,1,0,1,0,0,0,0,0,0
15,2026-08-20T16:00:46.170Z,457,13885440,13926400,188,21,234,1,0,1,0,0,0,0,0,0
16,2026-08-20T16:01:17.406Z,488,13885440,13926400,188,21,266,1,0,1,0,0,0,0,0,0
17,2026-08-20T16:01:49.376Z,520,14008320,14008320,188,21,281,1,0,1,0,0,0,0,0,0
18,2026-08-20T16:02:20.508Z,551,14008320,14008320,188,21,297,1,0,1,0,0,0,0,0,0
19,2026-08-20T16:02:51.594Z,582,14008320,14008320,188,21,297,1,0,1,0,0,0,0,0,0
20,2026-08-20T16:03:22.905Z,614,14036992,14036992,188,23,312,1,0,1,0,0,0,0,0,0
21,2026-08-20T16:03:53.451Z,644,14036992,14036992,188,23,328,1,0,1,0,0,0,0,0,0
22,2026-08-20T16:04:23.993Z,675,14008320,14036992,188,21,344,1,0,1,0,0,0,0,0,0
23,2026-08-20T16:04:54.832Z,705,14008320,14036992,188,21,344,1,0,1,0,0,0,0,0,0
24,2026-08-20T16:05:25.447Z,736,14008320,14036992,188,21,359,1,0,1,0,0,0,0,0,0
25,2026-08-20T16:05:56.047Z,767,14008320,14036992,188,21,391,1,0,1,0,0,0,0,0,0
26,2026-08-20T16:06:26.631Z,797,14008320,14036992,188,21,391,1,0,1,0,0,0,0,0,0
27,2026-08-20T16:06:56.958Z,828,14090240,14090240,188,22,391,1,0,1,0,0,0,0,0,0
28,2026-08-20T16:07:27.330Z,858,14123008,14123008,188,22,406,1,0,1,0,0,0,0,0,0
29,2026-08-20T16:07:57.667Z,888,14123008,14123008,188,22,422,1,0,1,0,0,0,0,0,0
30,2026-08-20T16:08:27.987Z,919,14123008,14123008,188,22,422,1,0,1,0,0,0,0,0,0
31,2026-08-20T16:08:58.309Z,949,14106624,14123008,188,21,422,1,0,1,0,0,0,0,0,0
32,2026-08-20T16:09:28.663Z,979,14106624,14123008,188,21,422,1,0,1,0,0,0,0,0,0
33,2026-08-20T16:09:59.019Z,1010,14131200,14131200,188,21,422,1,0,1,0,0,0,0,0,0
34,2026-08-20T16:10:29.338Z,1040,14131200,14131200,188,21,438,1,0,1,0,0,0,0,0,0
35,2026-08-20T16:10:59.686Z,1070,14192640,14192640,188,21,438,1,0,1,0,0,0,0,0,0
36,2026-08-20T16:11:30.045Z,1101,14196736,14196736,188,21,484,1,0,1,0,0,0,0,0,0
37,2026-08-20T16:12:00.406Z,1131,14200832,14200832,188,21,484,1,0,1,0,0,0,0,0,0
38,2026-08-20T16:12:30.706Z,1161,14217216,14217216,188,21,484,1,0,1,0,0,0,0,0,0
39,2026-08-20T16:13:01.049Z,1192,14217216,14217216,188,21,516,1,0,1,0,0,0,0,0,0
40,2026-08-20T16:13:31.395Z,1222,14217216,14217216,188,21,516,1,0,1,0,0,0,0,0,0
41,2026-08-20T16:14:02.833Z,1253,14217216,14217216,188,21,562,1,0,1,0,0,0,0,0,0
42,2026-08-20T16:14:34.499Z,1285,14217216,14217216,188,21,562,1,0,1,0,0,0,0,0,0
43,2026-08-20T16:15:06.243Z,1317,14221312,14221312,188,21,562,1,0,1,0,0,0,0,0,0
44,2026-08-20T16:15:36.947Z,1348,14221312,14221312,188,21,578,1,0,1,0,0,0,0,0,0
45,2026-08-20T16:16:07.587Z,1378,14221312,14221312,188,21,578,1,0,1,0,0,0,0,0,0
46,2026-08-20T16:16:38.014Z,1409,14221312,14221312,188,21,594,1,0,1,0,0,0,0,0,0
47,2026-08-20T16:17:08.363Z,1439,14221312,14221312,188,21,609,1,0,1,0,0,0,0,0,0
48,2026-08-20T16:17:38.682Z,1469,14237696,14237696,188,21,625,1,0,1,0,0,0,0,0,0
49,2026-08-20T16:18:09.012Z,1500,14237696,14237696,188,21,625,1,0,1,0,0,0,0,0,0
50,2026-08-20T16:18:39.398Z,1530,14237696,14237696,188,21,625,1,0,1,0,0,0,0,0,0
51,2026-08-20T16:19:09.751Z,1560,14237696,14237696,188,21,641,1,0,1,0,0,0,0,0,0
52,2026-08-20T16:19:40.093Z,1591,14249984,14249984,188,21,641,1,0,1,0,0,0,0,0,0
53,2026-08-20T16:20:10.462Z,1621,14249984,14249984,188,21,688,1,0,1,0,0,0,0,0,0
54,2026-08-20T16:20:40.829Z,1651,14249984,14249984,188,21,719,1,0,1,0,0,0,0,0,0
55,2026-08-20T16:21:11.171Z,1682,14249984,14249984,188,21,719,1,0,1,0,0,0,0,0,0
56,2026-08-20T16:21:41.511Z,1712,14249984,14249984,188,21,750,1,0,1,0,0,0,0,0,0
57,2026-08-20T16:22:11.854Z,1742,14249984,14249984,188,21,766,1,0,1,0,0,0,0,0,0
58,2026-08-20T16:22:42.203Z,1773,14249984,14249984,188,21,828,1,0,1,0,0,0,0,0,0
59,2026-08-20T16:23:13.666Z,1804,14249984,14249984,188,21,859,1,0,1,0,0,0,0,0,0
60,2026-08-20T16:23:46.129Z,1837,14249984,14249984,188,21,859,1,0,1,0,0,0,0,0,0
61,2026-08-20T16:24:18.711Z,1869,14249984,14249984,188,21,859,1,0,1,0,0,0,0,0,0
62,2026-08-20T16:24:51.981Z,1903,14249984,14249984,188,21,859,1,0,1,0,0,0,0,0,0
63,2026-08-20T16:25:34.578Z,1945,14249984,14249984,188,21,859,1,0,1,0,0,0,0,0,0
64,2026-08-20T16:26:16.177Z,1987,14266368,14266368,188,21,859,1,0,1,0,0,0,0,0,0
65,2026-08-20T16:26:56.635Z,2027,14266368,14266368,188,21,859,1,0,1,0,0,0,0,0,0
66,2026-08-20T16:27:26.986Z,2058,14266368,14266368,188,21,875,1,0,1,0,0,0,0,0,0
67,2026-08-20T16:27:57.329Z,2088,14266368,14266368,188,21,875,1,0,1,0,0,0,0,0,0
68,2026-08-20T16:28:27.660Z,2118,14266368,14266368,188,21,891,1,0,1,0,0,0,0,0,0
69,2026-08-20T16:28:58.020Z,2149,14266368,14266368,188,21,922,1,0,1,0,0,0,0,0,0
70,2026-08-20T16:29:28.371Z,2179,14266368,14266368,188,21,922,1,0,1,0,0,0,0,0,0
71,2026-08-20T16:29:59.693Z,2210,14266368,14266368,188,21,922,1,0,1,0,0,0,0,0,0
72,2026-08-20T16:30:31.138Z,2242,14266368,14266368,188,21,922,1,0,1,0,0,0,0,0,0
73,2026-08-20T16:31:02.726Z,2273,14266368,14266368,188,21,922,1,0,1,0,0,0,0,0,0
74,2026-08-20T16:31:34.071Z,2305,14266368,14266368,188,21,953,1,0,1,0,0,0,0,0,0
75,2026-08-20T16:32:04.460Z,2335,14266368,14266368,188,21,953,1,0,1,0,0,0,0,0,0
76,2026-08-20T16:32:34.787Z,2365,14266368,14266368,188,21,953,1,0,1,0,0,0,0,0,0
77,2026-08-20T16:33:05.117Z,2396,14266368,14266368,188,21,953,1,0,1,0,0,0,0,0,0
78,2026-08-20T16:33:35.455Z,2426,14266368,14266368,188,21,953,1,0,1,0,0,0,0,0,0
79,2026-08-20T16:34:06.217Z,2457,14266368,14266368,188,21,984,1,0,1,0,0,0,0,0,0
80,2026-08-20T16:34:48.778Z,2499,14266368,14266368,188,21,1000,1,0,1,0,0,0,0,0,0
81,2026-08-20T16:35:31.494Z,2542,14282752,14282752,188,21,1016,1,0,1,0,0,0,0,0,0
82,2026-08-20T16:36:13.836Z,2584,14282752,14282752,188,21,1031,1,0,1,0,0,0,0,0,0
83,2026-08-20T16:36:44.199Z,2615,14282752,14282752,188,21,1031,1,0,1,0,0,0,0,0,0
84,2026-08-20T16:37:14.549Z,2645,14282752,14282752,188,21,1047,1,0,1,0,0,0,0,0,0
85,2026-08-20T16:37:44.904Z,2675,14282752,14282752,188,21,1062,1,0,1,0,0,0,0,0,0
86,2026-08-20T16:38:15.264Z,2706,14282752,14282752,188,21,1062,1,0,1,0,0,0,0,0,0
87,2026-08-20T16:38:45.636Z,2736,14282752,14282752,188,21,1094,1,0,1,0,0,0,0,0,0
88,2026-08-20T16:39:15.980Z,2767,14282752,14282752,188,21,1094,1,0,1,0,0,0,0,0,0
89,2026-08-20T16:39:46.313Z,2797,14282752,14282752,188,21,1094,1,0,1,0,0,0,0,0,0
90,2026-08-20T16:40:16.652Z,2827,14282752,14282752,188,21,1094,1,0,1,0,0,0,0,0,0
91,2026-08-20T16:40:46.996Z,2858,14282752,14282752,188,21,1109,1,0,1,0,0,0,0,0,0
92,2026-08-20T16:41:17.331Z,2888,14282752,14282752,188,21,1125,1,0,1,0,0,0,0,0,0
93,2026-08-20T16:41:47.695Z,2918,14282752,14282752,188,21,1141,1,0,1,0,0,0,0,0,0
94,2026-08-20T16:42:18.000Z,2949,14282752,14282752,188,21,1141,1,0,1,0,0,0,0,0,0
95,2026-08-20T16:42:48.373Z,2979,14282752,14282752,188,21,1172,1,0,1,0,0,0,0,0,0
96,2026-08-20T16:43:18.718Z,3009,14282752,14282752,188,21,1172,1,0,1,0,0,0,0,0,0
97,2026-08-20T16:43:49.071Z,3040,14282752,14282752,188,21,1172,1,0,1,0,0,0,0,0,0
98,2026-08-20T16:44:19.380Z,3070,14295040,14295040,188,21,1188,1,0,1,0,0,0,0,0,0
99,2026-08-20T16:44:49.731Z,3100,14295040,14295040,188,21,1188,1,0,1,0,0,0,0,0,0
100,2026-08-20T16:45:20.064Z,3131,14295040,14295040,188,21,1188,1,0,1,0,0,0,0,0,0
101,2026-08-20T16:45:50.387Z,3161,14299136,14299136,188,21,1203,1,0,1,0,0,0,0,0,0
102,2026-08-20T16:46:20.712Z,3191,14299136,14299136,188,21,1219,1,0,1,0,0,0,0,0,0
103,2026-08-20T16:46:51.053Z,3222,14299136,14299136,188,21,1219,1,0,1,0,0,0,0,0,0
104,2026-08-20T16:47:21.400Z,3252,14299136,14299136,188,21,1266,1,0,1,0,0,0,0,0,0
105,2026-08-20T16:47:51.748Z,3282,14299136,14299136,188,21,1266,1,0,1,0,0,0,0,0,0
106,2026-08-20T16:48:22.086Z,3313,14299136,14299136,188,21,1312,1,0,1,0,0,0,0,0,0
107,2026-08-20T16:48:52.424Z,3343,14299136,14299136,188,21,1328,1,0,1,0,0,0,0,0,0
108,2026-08-20T16:49:22.770Z,3373,14299136,14299136,188,21,1375,1,0,1,0,0,0,0,0,0
109,2026-08-20T16:49:53.118Z,3404,14307328,14307328,188,21,1406,1,0,1,0,0,0,0,0,0
110,2026-08-20T16:50:23.524Z,3434,14307328,14307328,188,21,1438,1,0,1,0,0,0,0,0,0
111,2026-08-20T16:50:53.896Z,3464,14307328,14307328,188,21,1469,1,0,1,0,0,0,0,0,0
112,2026-08-20T16:51:24.274Z,3495,14307328,14307328,188,21,1469,1,0,1,0,0,0,0,0,0
113,2026-08-20T16:51:54.644Z,3525,14307328,14307328,188,21,1469,1,0,1,0,0,0,0,0,0
